gid,lon,lat
¤ì‚¬3749,126.7925085000,37.5427113800
¤ì‚¬4758,126.9050558000,37.6244527900
¤ì‚¬4153,126.8374659000,37.5790258600
¤ì‚¬5258,126.9617147000,37.6247248700
¤ì‚¬6247,127.0755977000,37.5260410900
¤ì‚¬4940,126.9289581000,37.4623281800
¤ì‚¬5140,126.9515726000,37.4624353000
¤ì‚¬4860,126.9162465000,37.6425353700
¤ì‚¬6548,127.1095022000,37.5351716200
¤ì‚¬6262,127.0748292000,37.6612402100
¤ì‚¬6352,127.0866661000,37.5711480000
¤ì‚¬4045,126.8267899000,37.5068579400
¤ì‚¬5743,127.0192438000,37.4897708500
¤ì‚¬5846,127.0303860000,37.5168564100
¤ì‚¬5751,127.0187808000,37.5618773200
¤ì‚¬4954,126.9279954000,37.5885126800
¤ì‚¬5849,127.0302164000,37.5438963600
¤ì‚¬5756,127.0184906000,37.6069434100
¤ì‚¬6750,127.1320507000,37.5532711300
¤ì‚¬6447,127.0982320000,37.5261202600
¤ì‚¬5660,127.0069233000,37.6429492000
¤ì‚¬4151,126.8376255000,37.5609999500
¤ì‚¬5659,127.0069829000,37.6339360800
¤ì‚¬5240,126.9628799000,37.4624872400
¤ì‚¬4448,126.8718185000,37.5341464700
¤ì‚¬4451,126.8715915000,37.5611856200
¤ì‚¬6556,127.1091255000,37.6072784000
¤ì‚¬6655,127.1205008000,37.5983020700
¤ì‚¬7052,127.1659342000,37.5713989200
¤ì‚¬4345,126.8607313000,37.5070465100
¤ì‚¬4737,126.9065573000,37.4351769600
¤ì‚¬4949,126.9283399000,37.5434471000
