id,영업상태,상세주소,약국명,위도,경도
PHMH320203000034087500027,영업/정상,서울특별시 종로구 종로 77 통일빌딩 104호 (종로2가),(주)코리아세븐 종로피맛골점,198685.761389454,452015.63212884
PHMH320203000034087500025,영업/정상,서울특별시 종로구 청계천로 331 동대문상가일신파워빌딩 제라동 나열 67호 (창신동),씨유종로청계점,201236.543011311,451980.76162207
PHMH320203000034087500028,영업/정상,서울특별시 종로구 종로 185 (종로4가),(주)코리아세븐 종로가배점,199791.558137093,452086.010385627
PHMH320223160034087500009,영업/정상,서울특별시 구로구 고척로30길 58 101호 (개봉동),씨유 개봉푸르지오점,186634.557536494,444188.73574906
PHMH320203000034087500029,영업/정상,서울특별시 종로구 지봉로 50 필빌딩 101호 (숭인동),GS25 숭인필점,201341.677424554,452471.587514595
PHMH320203000034087500030,영업/정상,서울특별시 종로구 율곡로6길 15 1층 (운니동),씨유 종로창덕궁,198993.740420535,452697.981100444
PHMH320203000034087500031,영업/정상,서울특별시 종로구 우정국로2길 21 대왕빌딩 1층 (관철동),지에스25 종각,198541.72075378,451935.633974889
PHMH320203000034087500032,영업/정상,서울특별시 종로구 삼일대로 393-1 1층 (관철동),(주)코리아세븐 종로삼일대로점,198819.574269631,451942.979071945
PHMH320213000034087500006,영업/정상,서울특별시 종로구 김상옥로 56 1층 (효제동),지에스25 종로효제점,200275.07478465,452339.536663625
PHMH320213000034087500002,영업/정상,서울특별시 종로구 종로 127-2 영흥빌딩 1층 103호 (종로3가),씨유 종로피카디리점,199203.67320369,452045.441223018
PHMH320213000034087500005,영업/정상,서울특별시 종로구 창신5라길 13 (창신동),지에스25창신명성,201036.821869354,452403.393056587
PHMH320163000034087500034,영업/정상,서울특별시 종로구 대학로 4-1 (효제동),씨유 종로햇살점,200121.174982094,452136.166709862
PHMH320143000034087500002,영업/정상,서울특별시 종로구 난계로29가길 17 102호 (숭인동),GS25 숭인행운,201937.460305076,452380.75338294
PHMH320163000034087500042,영업/정상,서울특별시 종로구 동숭길 143 1층 101호 (동숭동),(주)코리아세븐 대학로카페점,200146.490911755,453439.51241992
PHMH320143000034087500008,영업/정상,서울특별시 종로구 지봉로 18 (숭인동),GS25 종로동묘,201342.2760174,452159.201741248
